benchmark,task,model,valid_rollouts,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
RoboDojo-Sim,arrange_largest_number,X-VLA,12,0.5,0.25,0.08333333333333333,0,0.2563222222222221,0.0583379892378912,0.09436744740330236,0.3465909090909091,0.6506965327866985,0.12816111111111111,0
RoboDojo-Sim,build_tower,GalaxeaVLA (G0),6,1,0.8333333333333334,0.6666666666666666,0.5,0.9742142857142857,0.6916903406115,0.007918777056277063,0.36363636363636365,1,0.457,0.7754769287122179
RoboDojo-Sim,build_tower,Hy-Embodied-0.5-VLA,6,1,1,1,0.3333333333333333,0.9614999999999998,0.7160100295082806,0.010663792703791837,0.3181818181818181,1,0.9755749999999999,0.7839880134658841
RoboDojo-Sim,build_tower,Pi-05,6,1,1,1,0.3333333333333333,0.9706428571428571,0.7337195486171862,0.009134377778212726,0.2727272727272727,1,0.9563071428571428,0.8115575126034625
RoboDojo-Sim,build_tower,Spatial Forcing,6,1,1,0.8333333333333334,0.3333333333333333,0.9519285714285713,0.7388716312793624,0.006749749633082969,0.26401515151515154,1,0.9215,0.80127943659743
RoboDojo-Sim,build_tower,AHA-WAM,6,1,1,0.8333333333333334,0.16666666666666666,0.8044499999999999,0.4787193139365882,0.017373822857927962,0.24835043988269795,0.851091391145387,0.8988999999999998,0.8434975142627763
RoboDojo-Sim,build_tower,InternVLA-A1,6,1,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6154999999999999,0.2627669952112951,0.1316801052304606,0.2840909090909091,0.6884629849960087,0.457,0.7545062231869255
RoboDojo-Sim,build_tower,Pi-0,6,1,1,0.3333333333333333,0.16666666666666666,0.7120499999999998,0.3672153286303535,0.06841893364383861,0.3125,0.16196002607429946,0.5490999999999999,0.7750656295473168
RoboDojo-Sim,build_tower,StarVLA,6,1,1,1,0.16666666666666666,0.9674999999999999,0.7904849038186961,0.007593460267627736,0.34007078986587186,1,0.9835714285714285,0.8310387899509839
RoboDojo-Sim,build_tower,X-VLA,6,1,1,1,0.16666666666666666,0.9835714285714285,0.843370116162883,0.003889751497551466,0.28225806451612906,1,0.9908571428571429,0.8324640013186472
RoboDojo-Sim,build_tower,Fast-WAM,6,0.5,0.5,0.16666666666666666,0,0.36034999999999995,0.13797554176971993,0.2519513479173689,0.32386363636363635,0.6864135341620307,0.280175,0
RoboDojo-Sim,build_tower,GigaWorld-Policy-0,6,1,0.8333333333333334,0.3333333333333333,0,0.71895,0.32178981935381323,0.07580211264295533,0.2670454545454546,0.5799015725424674,0.559475,0
RoboDojo-Sim,build_tower,GROOT-N1.7,6,0.8333333333333334,0.3333333333333333,0.16666666666666666,0,0.3354999999999999,0.09491549721643772,0.11806418955222234,0.3409090909090909,1,0.16775,0
RoboDojo-Sim,build_tower,LDA-1B,6,0.6666666666666666,0.5,0,0,0.4344999999999999,0.16767003676631106,0.05839986542146447,0.34659090909090906,0.9125659055303179,0.31725000000000003,0
RoboDojo-Sim,build_tower,Spirit v1.5,6,0.3333333333333333,0,0,0,0.15460000000000002,0.02614816719602723,0.2478027450441012,0.2897727272727273,0.7677718480420199,0.0773,0
RoboDojo-Sim,build_tower,X-WAM,6,1,0.8333333333333334,0.6666666666666666,0,0.8693499999999998,0.41960420554580063,0.03529430968254261,0.25568181818181823,0.4151260651704562,0.9346749999999998,0
RoboDojo-Sim,build_tower,Xiaomi-Robotics-0,6,1,0.6666666666666666,0.3333333333333333,0,0.6363999999999999,0.28368919433463946,0.061656814640743324,0.2897727272727273,0.9678350079932403,0.5182,0
RoboDojo-Sim,classify_objects,Hy-Embodied-0.5-VLA,6,1,1,1,1,1,0.7521772214206526,0.006501630434782604,0.47282608695652173,1,0,0.7747536022198274
